original_url;wayback_url;timestamp;type;products_found;;;
http://www.press.sk:80/bojove-umenia-a-sebaobrana/;https://web.archive.org/web/20131004160058/http://www.press.sk:80/bojove-umenia-a-sebaobrana/;2,01E+13;skip;0;;;
http://www.press.sk:80/bojove-umenia-a-sebaobrana/;https://web.archive.org/web/20140826171912/http://www.press.sk:80/bojove-umenia-a-sebaobrana/;2,01E+13;skip;0;;;
http://www.press.sk:80/bojove-umenia-a-sebaobrana/;https://web.archive.org/web/20160715114329/http://www.press.sk:80/bojove-umenia-a-sebaobrana/;2,02E+13;skip;0;;;
http://www.press.sk:80/bojove-umenia-a-sebaobrana/;https://web.archive.org/web/20160716132708/http://www.press.sk:80/bojove-umenia-a-sebaobrana/;2,02E+13;skip;0;;;
http://www.press.sk/bojove-umenia-a-sebaobrana/;https://web.archive.org/web/20160802134114/http://www.press.sk/bojove-umenia-a-sebaobrana/;2,02E+13;skip;0;;;
http://www.press.sk/bojove-umenia-a-sebaobrana/;https://web.archive.org/web/20170406085258/http://www.press.sk/bojove-umenia-a-sebaobrana/;2,02E+13;skip;0;;;
http://www.press.sk/bumik/;https://web.archive.org/web/20160407125139/http://www.press.sk/bumik/;2,02E+13;skip;0;;;
http://www.press.sk:80/bumik/;https://web.archive.org/web/20160508104643/http://www.press.sk:80/bumik/;2,02E+13;skip;0;;;
http://www.press.sk/bumik/;https://web.archive.org/web/20170406082601/http://www.press.sk/bumik/;2,02E+13;skip;0;;;
http://www.press.sk:80/byt-dom/;https://web.archive.org/web/20090214220100/http://www.press.sk:80/byt-dom/;2,01E+13;skip;0;;;
http://www.press.sk:80/byt-dom/;https://web.archive.org/web/20090420212756/http://www.press.sk:80/byt-dom/;2,01E+13;skip;0;;;
http://www.press.sk:80/byt-dom/;https://web.archive.org/web/20090911102826/http://www.press.sk:80/byt-dom/;2,01E+13;skip;0;;;
http://www.press.sk:80/byt-dom/;https://web.archive.org/web/20091204005407/http://www.press.sk:80/byt-dom/;2,01E+13;skip;0;;;
http://www.press.sk:80/byt-dom/;https://web.archive.org/web/20100307123426/http://www.press.sk:80/byt-dom/;2,01E+13;skip;0;;;
http://www.press.sk:80/byt-dom/;https://web.archive.org/web/20100507082327/http://www.press.sk:80/byt-dom/;2,01E+13;skip;0;;;
http://www.press.sk:80/byt-dom/;https://web.archive.org/web/20100905155319/http://www.press.sk:80/byt-dom/;2,01E+13;skip;0;;;
http://www.press.sk:80/byt-dom/;https://web.archive.org/web/20101221035903/http://www.press.sk:80/byt-dom/;2,01E+13;skip;0;;;
http://www.press.sk:80/byt-dom/;https://web.archive.org/web/20101222064224/http://www.press.sk:80/byt-dom/;2,01E+13;skip;0;;;
http://www.press.sk:80/byt-dom/;https://web.archive.org/web/20110326094936/http://www.press.sk:80/byt-dom/;2,01E+13;skip;0;;;
http://www.press.sk:80/byt-dom/;https://web.archive.org/web/20110526001235/http://www.press.sk:80/byt-dom/;2,01E+13;skip;0;;;
http://www.press.sk:80/byt-dom/;https://web.archive.org/web/20110727181727/http://www.press.sk:80/byt-dom/;2,01E+13;skip;0;;;
http://www.press.sk/byt-dom/;https://web.archive.org/web/20130511015454/http://www.press.sk/byt-dom/;2,01E+13;skip;0;;;
http://www.press.sk:80/byt-dom/;https://web.archive.org/web/20130713042130/http://www.press.sk:80/byt-dom/;2,01E+13;skip;0;;;
http://www.press.sk:80/byt-dom/;https://web.archive.org/web/20131108093227/http://www.press.sk:80/byt-dom/;2,01E+13;skip;0;;;
http://www.press.sk:80/byt-dom/;https://web.archive.org/web/20140912190302/http://www.press.sk:80/byt-dom/;2,01E+13;skip;0;;;
http://www.press.sk:80/byt-dom/;https://web.archive.org/web/20141015012322/http://www.press.sk:80/byt-dom/;2,01E+13;skip;0;;;
http://www.press.sk:80/byt-dom/;https://web.archive.org/web/20151103125344/http://www.press.sk:80/byt-dom/;2,02E+13;skip;0;;;
http://www.press.sk/byt-dom/;https://web.archive.org/web/20160802133333/http://www.press.sk/byt-dom/;2,02E+13;skip;0;;;
http://www.press.sk:80/byt-dom;https://web.archive.org/web/20160903072330/http://www.press.sk:80/byt-dom;2,02E+13;skip;0;;;
http://www.press.sk:80/byt-dom;https://web.archive.org/web/20161005003921/http://www.press.sk:80/byt-dom;2,02E+13;skip;0;;;
http://www.press.sk:80/byt-dom;https://web.archive.org/web/20161105145602/http://www.press.sk:80/byt-dom;2,02E+13;skip;0;;;
http://www.press.sk/byt-dom/;https://web.archive.org/web/20170406042214/http://www.press.sk/byt-dom/;2,02E+13;skip;0;;;
http://www.press.sk:80/byt-dom/;https://web.archive.org/web/20170429170013/http://www.press.sk:80/byt-dom/;2,02E+13;skip;0;;;
http://www.press.sk:80/byvanie-stavebnictvo/;https://web.archive.org/web/20081217032219/http://www.press.sk:80/byvanie-stavebnictvo/;2,01E+13;skip;0;;;
http://www.press.sk:80/byvanie-stavebnictvo/;https://web.archive.org/web/20090116094703/http://www.press.sk:80/byvanie-stavebnictvo/;2,01E+13;skip;0;;;
http://www.press.sk:80/byvanie-stavebnictvo;https://web.archive.org/web/20090127045315/http://www.press.sk:80/byvanie-stavebnictvo;2,01E+13;skip;0;;;
http://www.press.sk:80/byvanie-stavebnictvo/;https://web.archive.org/web/20090216042408/http://www.press.sk:80/byvanie-stavebnictvo/;2,01E+13;skip;0;;;
